,n,q,r,a,u,e,p,name,Winner17,Winner15,q2,r2,nameshort,gain or hold,
E14001019,Warwick and Leamington,-1,-5,WM,UKG,71578,99849,Warwick and Leamington,Lab,Con,-0.5,-5,War,Lab gain from Con,
E14001020,Washington and Sunderland West,-2,15,NE,UKC,68190,88096,Washington and Sunderland West,Lab,Lab,-1.5,15,Was,Lab hold ,
E14001021,Watford,7,-6,EA,UKH,83535,122153,Watford,Con,Con,7,-6,Wat,Con hold ,
E14001022,Waveney,8,1,EA,UKH,80166,104861,Waveney,Con,Con,8.5,1,Wav,Con hold ,
E14001023,Wealden,11,-13,SE,UKJ,80236,108729,Wealden,Con,Con,11.5,-13,Wea,Con hold ,
E14001024,Weaver Vale,-7,2,NW,UKD,68407,89411,Weaver Vale,Lab,Con,-7,2,Wea,Lab gain from Con,
E14001025,Wellingborough,4,-1,EM,UKF,74317,113099,Wellingborough,Con,Con,4.5,-1,Wel,Con hold ,
E14001026,Wells,-10,-12,SW,UKK,79405,106881,Wells,Con,Con,-10,-12,Wel,Con hold ,
E14001027,Welwyn Hatfield,7,-4,EA,UKH,73247,116869,Welwyn Hatfield,Con,Con,7,-4,Wel,Con hold ,
E14001028,Wentworth and Dearne,-1,5,YH,UKE,74283,98554,Wentworth and Dearne,Lab,Lab,-0.5,5,Wen,Lab hold ,
E14001029,West Bromwich East,-4,-2,WM,UKG,63637,93365,West Bromwich East,Lab,Lab,-4,-2,Wes,Lab hold ,
E14001030,West Bromwich West,-5,-2,WM,UKG,65524,95418,West Bromwich West,Lab,Lab,-5,-2,Wes,Lab hold ,
E14001031,West Dorset,-9,-14,SW,UKK,78000,98090,West Dorset,Con,Con,-9,-14,Wes,Con hold ,
E14001032,West Ham,6,-9,LO,UKI,90640,185200,West Ham,Lab,Lab,6.5,-9,Wes,Lab hold ,
E14001033,West Lancashire,-8,8,NW,UKD,70906,97626,West Lancashire,Lab,Lab,-8,8,Wes,Lab hold ,
E14001034,West Suffolk,8,-1,EA,UKH,76198,121071,West Suffolk,Con,Con,8.5,-1,Wes,Con hold ,
E14001035,West Worcestershire,-7,-4,WM,UKG,73394,95096,West Worcestershire,Con,Con,-7,-4,Wes,Con hold ,
E14001036,Westminster North,3,-11,LO,UKI,62346,129527,Westminster North,Lab,Lab,3.5,-11,Wes,Lab hold ,
E14001037,Westmorland and Lonsdale,-4,13,NW,UKD,65857,84614,Westmorland and Lonsdale,LD,LD,-3.5,13,Wes,LD hold ,
E14001038,Weston-Super-Mare,-9,-12,SW,UKK,80309,110924,Weston-Super-Mare,Con,Con,-9,-12,Wes,Con hold ,
E14001039,Wigan,-7,8,NW,UKD,75990,104158,Wigan,Lab,Lab,-7,8,Wig,Lab hold ,
E14001040,Wimbledon,2,-12,LO,UKI,65853,99220,Wimbledon,Con,Con,2,-12,Wim,Con hold ,
E14001041,Winchester,-4,-11,SE,UKJ,74119,102044,Winchester,Con,Con,-3.5,-11,Win,Con hold ,
E14001042,Windsor,-2,-9,SE,UKJ,71538,105669,Windsor,Con,Con,-1.5,-9,Win,Con hold ,
E14001043,Wirral South,-9,2,NW,UKD,56956,72991,Wirral South,Lab,Lab,-9,2,Wir,Lab hold ,
E14001044,Wirral West,-11,2,NW,UKD,55377,69375,Wirral West,Lab,Lab,-11,2,Wir,Lab hold ,
E14001045,Witham,10,-4,EA,UKH,67090,91545,Witham,Con,Con,10,-4,Wit,Con hold ,
E14001046,Witney,-1,-6,SE,UKJ,79767,109266,Witney,Con,Con,-1,-6,Wit,Con hold ,
E14001047,Woking,-2,-11,SE,UKJ,74269,108197,Woking,Con,Con,-1.5,-11,Wok,Con hold ,
E14001048,Wokingham,-4,-9,SE,UKJ,77881,109445,Wokingham,Con,Con,-3.5,-9,Wok,Con hold ,
E14001049,Wolverhampton North East,-7,-1,WM,UKG,61065,90944,Wolverhampton North East,Lab,Lab,-6.5,-1,Wol,Lab hold ,
E14001050,Wolverhampton South East,-6,-2,WM,UKG,62556,93652,Wolverhampton South East,Lab,Lab,-6,-2,Wol,Lab hold ,
E14001051,Wolverhampton South West,-7,-2,WM,UKG,60368,87774,Wolverhampton South West,Lab,Lab,-7,-2,Wol,Lab hold ,
E14001052,Worcester,-6,-5,WM,UKG,72461,102314,Worcester,Con,Con,-5.5,-5,Wor,Con hold ,
E14001053,Workington,-5,14,NW,UKD,58615,79433,Workington,Lab,Lab,-5,14,Wor,Lab hold ,
E14001054,Worsley and Eccles South,-8,5,NW,UKD,72177,103048,Worsley and Eccles South,Lab,Lab,-7.5,5,Wor,Lab hold ,
E14001055,Worthing West,3,-15,SE,UKJ,75617,98911,Worthing West,Con,Con,3.5,-15,Wor,Con hold ,
E14001056,Wycombe,-1,-7,SE,UKJ,76371,111353,Wycombe,Con,Con,-0.5,-7,Wyc,Con hold ,
E14001057,Wyre and Preston North,-6,11,NW,UKD,70637,89672,Wyre and Preston North,Con,Con,-5.5,11,Wyr,Con hold ,
E14001058,Wyre Forest,-8,-3,WM,UKG,77407,100715,Wyre Forest,Con,Con,-7.5,-3,Wyr,Con hold ,
E14001059,Wythenshawe and Sale East,-6,3,NW,UKD,75994,108336,Wythenshawe and Sale East,Lab,Lab,-5.5,3,Wyt,Lab hold ,
E14001060,Yeovil,-10,-14,SW,UKK,82447,111055,Yeovil,Con,Con,-10,-14,Yeo,Con hold ,
E14001061,York Central,0,11,YH,UKE,75351,111937,York Central,Lab,Lab,0.5,11,Yor,Lab hold ,
E14001062,York Outer,-1,11,YH,UKE,78561,96226,York Outer,Con,Con,-0.5,11,Yor,Con hold ,
N06000001,Belfast East,-14,13,NI,UKN,63157,95193,Belfast East,DUP,,-13.5,13,Bel,DUP gain from ,
N06000002,Belfast North,-14,14,NI,UKN,68553,104231,Belfast North,DUP,,-14,14,Bel,DUP gain from ,
N06000003,Belfast South,-14,12,NI,UKN,64927,114391,Belfast South,DUP,,-14,12,Bel,DUP gain from ,
N06000004,Belfast West,-15,13,NI,UKN,62697,94620,Belfast West,SF,,-14.5,13,Bel,SF gain from ,
N06000005,East Antrim,-14,15,NI,UKN,62811,90196,East Antrim,DUP,,-13.5,15,Eas,DUP gain from ,
N06000006,East Londonderry,-16,15,NI,UKN,66926,101534,East Londonderry,DUP,,-15.5,15,Eas,DUP gain from ,
N06000007,Fermanagh and South Tyrone,-17,13,NI,UKN,70108,107878,Fermanagh and South Tyrone,SF,,-16.5,13,Fer,SF gain from ,
N06000008,Foyle,-17,15,NI,UKN,70036,103075,Foyle,SF,,-16.5,15,Foy,SF gain from ,
N06000009,Lagan Valley,-15,12,NI,UKN,71152,107881,Lagan Valley,DUP,,-15,12,Lag,DUP gain from ,
N06000010,Mid Ulster,-16,14,NI,UKN,67832,103611,Mid Ulster,SF,,-16,14,Mid,SF gain from ,
N06000011,Newry and Armagh,-15,11,NI,UKN,77633,119091,Newry and Armagh,SF,,-14.5,11,New,SF gain from ,
N06000012,North Antrim,-15,15,NI,UKN,75876,111886,North Antrim,DUP,,-14.5,15,Nor,DUP gain from ,
N06000013,North Down,-13,14,NI,UKN,64207,91330,North Down,Ind,,-13,14,Nor,Ind gain from ,
N06000014,South Antrim,-15,14,NI,UKN,67425,102756,South Antrim,DUP,,-15,14,Sou,DUP gain from ,
N06000015,South Down,-13,12,NI,UKN,75220,112809,South Down,SF,,-13,12,Sou,SF gain from ,
N06000016,Strangford,-13,13,NI,UKN,64289,91308,Strangford,DUP,,-12.5,13,Str,DUP gain from ,
N06000017,Upper Bann,-16,12,NI,UKN,80060,126134,Upper Bann,DUP,,-16,12,Upp,DUP gain from ,
N06000018,West Tyrone,-17,14,NI,UKN,63856,92910,West Tyrone,SF,,-17,14,Wes,SF gain from ,
S14000001,Aberdeen North,-4,25,SC,UKM,67745,100606,Aberdeen North,SNP,SNP,-3.5,25,Abe,SNP hold ,
S14000002,Aberdeen South,-3,24,SC,UKM,68056,97610,Aberdeen South,Con,SNP,-3,24,Abe,Con gain from SNP,
S14000003,Airdrie and Shotts,-7,20,SC,UKM,66792,87809,Airdrie and Shotts,SNP,SNP,-7,20,Air,SNP hold ,
S14000004,Angus,-5,23,SC,UKM,65792,86637,Angus,Con,SNP,-4.5,23,Ang,Con gain from SNP,
S14000005,Argyll and Bute,-8,23,SC,UKM,68875,87660,Argyll and Bute,SNP,SNP,-7.5,23,Arg,SNP hold ,
S14000006,"Ayr, Carrick and Cumnock",-8,16,SC,UKM,72995,92472,"Ayr, Carrick and Cumnock",Con,SNP,-8,16,Ayr,Con gain from SNP,
S14000007,Banff and Buchan,-5,24,SC,UKM,68609,92185,Banff and Buchan,Con,SNP,-5,24,Ban,Con gain from SNP,
S14000008,"Berwickshire, Roxburgh and Selkirk",-5,17,SC,UKM,74214,94586,"Berwickshire, Roxburgh and Selkirk",Con,SNP,-4.5,17,Ber,Con gain from SNP,
S14000009,"Caithness, Sutherland and Easter Ross",-6,26,SC,UKM,47558,61311,"Caithness, Sutherland and Easter Ross",LD,SNP,-6,26,Cai,LD gain from SNP,
S14000010,Central Ayrshire,-10,17,SC,UKM,70021,88413,Central Ayrshire,SNP,SNP,-9.5,17,Cen,SNP hold ,
S14000011,"Coatbridge, Chryston and Bellshill",-8,20,SC,UKM,73894,96764,"Coatbridge, Chryston and Bellshill",Lab,SNP,-8,20,Coa,Lab gain from SNP,
S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",-8,21,SC,UKM,67088,85602,"Cumbernauld, Kilsyth and Kirkintilloch East",SNP,SNP,-7.5,21,Cum,SNP hold ,
S14000013,Dumfries and Galloway,-6,16,SC,UKM,75249,94932,Dumfries and Galloway,Con,SNP,-6,16,Dum,Con gain from SNP,
S14000014,"Dumfriesshire, Clydesdale and Tweeddale",-5,16,SC,UKM,68483,86993,"Dumfriesshire, Clydesdale and Tweeddale",Con,Con,-5,16,Dum,Con hold ,
S14000015,Dundee East,-5,22,SC,UKM,67822,90377,Dundee East,SNP,SNP,-5,22,Dun,SNP hold ,
S14000016,Dundee West,-6,23,SC,UKM,65927,87906,Dundee West,SNP,SNP,-5.5,23,Dun,SNP hold ,
S14000017,Dunfermline and West Fife,-6,21,SC,UKM,78037,99724,Dunfermline and West Fife,SNP,SNP,-5.5,21,Dun,SNP hold ,
S14000018,East Dunbartonshire,-8,22,SC,UKM,66966,82662,East Dunbartonshire,LD,SNP,-8,22,Eas,LD gain from SNP,
S14000019,"East Kilbride, Strathaven and Lesmahagow",-8,17,SC,UKM,83205,99275,"East Kilbride, Strathaven and Lesmahagow",SNP,SNP,-7.5,17,Eas,SNP hold ,
S14000020,East Lothian,-4,18,SC,UKM,79481,102050,East Lothian,Lab,SNP,-4,18,Eas,Lab gain from SNP,
S14000021,East Renfrewshire,-10,18,SC,UKM,69982,92380,East Renfrewshire,Con,SNP,-10,18,Eas,Con gain from SNP,
S14000022,Edinburgh East,-5,19,SC,UKM,67141,96872,Edinburgh East,SNP,SNP,-4.5,19,Edi,SNP hold ,
S14000023,Edinburgh North and Leith,-6,19,SC,UKM,80910,111065,Edinburgh North and Leith,SNP,SNP,-5.5,19,Edi,SNP hold ,
S14000024,Edinburgh South,-5,18,SC,UKM,65801,88728,Edinburgh South,Lab,Lab,-5,18,Edi,Lab hold ,
S14000025,Edinburgh South West,-6,18,SC,UKM,72149,101284,Edinburgh South West,SNP,SNP,-6,18,Edi,SNP hold ,
S14000026,Edinburgh West,-7,19,SC,UKM,71717,94731,Edinburgh West,LD,SNP,-6.5,19,Edi,LD gain from SNP,
S14000027,Na h-Eileanan an Iar,-8,26,SC,UKM,21769,27250,Na h-Eileanan An Iar,SNP,SNP,-8,26,Na ,SNP hold ,
S14000028,Falkirk,-7,21,SC,UKM,83380,111872,Falkirk,SNP,SNP,-6.5,21,Fal,SNP hold ,
S14000029,Glasgow Central,-9,19,SC,UKM,70945,91166,Glasgow Central,SNP,SNP,-8.5,19,Gla,SNP hold ,
S14000030,Glasgow East,-8,18,SC,UKM,70378,89140,Glasgow East,SNP,SNP,-8,18,Gla,SNP hold ,
S14000031,Glasgow North,-9,20,SC,UKM,60169,71997,Glasgow North,SNP,SNP,-9,20,Gla,SNP hold ,
S14000032,Glasgow North East,-9,21,SC,UKM,66678,85826,Glasgow North East,Lab,SNP,-8.5,21,Gla,Lab gain from SNP,
S14000033,Glasgow North West,-10,21,SC,UKM,68418,87060,Glasgow North West,SNP,SNP,-9.5,21,Gla,SNP hold ,
S14000034,Glasgow South,-9,18,SC,UKM,74051,88617,Glasgow South,SNP,SNP,-9,18,Gla,SNP hold ,
S14000035,Glasgow South West,-10,19,SC,UKM,66209,85844,Glasgow South West,SNP,SNP,-9.5,19,Gla,SNP hold ,
S14000036,Glenrothes,-4,22,SC,UKM,69781,89042,Glenrothes,SNP,SNP,-4,22,Gle,SNP hold ,
S14000037,Gordon,-5,25,SC,UKM,79393,102856,Gordon,Con,SNP,-4.5,25,Gor,Con gain from SNP,
S14000038,Inverclyde,-11,21,SC,UKM,59350,79860,Inverclyde,SNP,SNP,-10.5,21,Inv,SNP hold ,
S14000039,"Inverness, Nairn, Badenoch and Strathspey",-7,25,SC,UKM,77628,103356,"Inverness, Nairn, Badenoch and Strathspey",SNP,SNP,-6.5,25,Inv,SNP hold ,
S14000040,Kilmarnock and Loudoun,-7,16,SC,UKM,75250,96159,Kilmarnock and Loudoun,SNP,SNP,-7,16,Kil,SNP hold ,
S14000041,Kirkcaldy and Cowdenbeath,-5,21,SC,UKM,75941,97838,Kirkcaldy and Cowdenbeath,Lab,SNP,-4.5,21,Kir,Lab gain from SNP,
S14000042,Lanark and Hamilton East,-7,17,SC,UKM,79962,98138,Lanark and Hamilton East,SNP,SNP,-6.5,17,Lan,SNP hold ,
S14000043,Linlithgow and East Falkirk,-6,20,SC,UKM,86955,114250,Linlithgow and East Falkirk,SNP,SNP,-6,20,Lin,SNP hold ,
S14000044,Livingston,-7,18,SC,UKM,82373,108668,Livingston,SNP,SNP,-7,18,Liv,SNP hold ,
S14000045,Midlothian,-6,17,SC,UKM,67875,86210,Midlothian,Lab,SNP,-5.5,17,Mid,Lab gain from SNP,
S14000046,Moray,-6,24,SC,UKM,71685,94750,Moray,Con,SNP,-6,24,Mor,Con gain from SNP,
S14000047,Motherwell and Wishaw,-8,19,SC,UKM,70283,91843,Motherwell and Wishaw,SNP,SNP,-7.5,19,Mot,SNP hold ,
S14000048,North Ayrshire and Arran,-11,18,SC,UKM,75791,94066,North Ayrshire and Arran,SNP,SNP,-11,18,Nor,SNP hold ,
S14000049,North East Fife,-4,23,SC,UKM,62003,80656,North East Fife,SNP,SNP,-3.5,23,Nor,SNP hold ,
S14000050,Ochil and South Perthshire,-6,22,SC,UKM,77370,101185,Ochil and South Perthshire,Con,SNP,-6,22,Och,Con gain from SNP,
S14000051,Orkney and Shetland,-5,28,SC,UKM,34552,44820,Orkney and Shetland,LD,LD,-5,28,Ork,LD hold ,
S14000052,Paisley and Renfrewshire North,-10,20,SC,UKM,66206,88981,Paisley and Renfrewshire North,SNP,SNP,-10,20,Pai,SNP hold ,
S14000053,Paisley and Renfrewshire South,-11,19,SC,UKM,61281,85249,Paisley and Renfrewshire South,SNP,SNP,-10.5,19,Pai,SNP hold ,
S14000054,Perth and North Perthshire,-7,23,SC,UKM,72459,98885,Perth and North Perthshire,SNP,SNP,-6.5,23,Per,SNP hold ,
S14000055,"Ross, Skye and Lochaber",-7,24,SC,UKM,54169,68433,"Ross, Skye and Lochaber",SNP,SNP,-7,24,Ros,SNP hold ,
S14000056,Rutherglen and Hamilton West,-9,17,SC,UKM,82830,105406,Rutherglen and Hamilton West,Lab,SNP,-8.5,17,Rut,Lab gain from SNP,
S14000057,Stirling,-7,22,SC,UKM,67236,91580,Stirling,Con,SNP,-7,22,Sti,Con gain from SNP,
S14000058,West Aberdeenshire and Kincardine,-4,24,SC,UKM,73445,96233,West Aberdeenshire and Kincardine,Con,SNP,-4,24,Wes,Con gain from SNP,
S14000059,West Dunbartonshire,-9,22,SC,UKM,69208,89730,West Dunbartonshire,SNP,SNP,-9,22,Wes,SNP hold ,
W07000041,Ynys Mn,-14,1,WA,UKL,49939,69794,Ynys Mon,Lab,Lab,-13.5,1,Yny,Lab hold ,
W07000042,Delyn,-11,1,WA,UKL,53639,69801,Delyn,Lab,Lab,-10.5,1,Del,Lab hold ,
W07000043,Alyn and Deeside,-10,1,WA,UKL,62016,85354,Alyn and Deeside,Lab,Lab,-9.5,1,Aly,Lab hold ,
W07000044,Wrexham,-9,0,WA,UKL,50992,70655,Wrexham,Lab,Lab,-9,0,Wre,Lab hold ,
W07000045,Llanelli,-14,-8,WA,UKL,59314,82826,Llanelli,Lab,Lab,-14,-8,Lla,Lab hold ,
W07000046,Gower,-14,-9,WA,UKL,61820,79176,Gower,Lab,Con,-13.5,-9,Gow,Lab gain from Con,
W07000047,Swansea West,-13,-8,WA,UKL,58776,83573,Swansea West,Lab,Lab,-13,-8,Swa,Lab hold ,
W07000048,Swansea East,-13,-7,WA,UKL,58011,82731,Swansea East,Lab,Lab,-12.5,-7,Swa,Lab hold ,
W07000049,Aberavon,-12,-8,WA,UKL,49821,68203,Aberavon,Lab,Lab,-12,-8,Abe,Lab hold ,
W07000050,Cardiff Central,-9,-8,WA,UKL,57456,93276,Cardiff Central,Lab,Lab,-9,-8,Car,Lab hold ,
W07000051,Cardiff North,-10,-7,WA,UKL,67196,90507,Cardiff North,Lab,Con,-9.5,-7,Car,Lab gain from Con,
W07000052,Rhondda,-11,-6,WA,UKL,51811,69278,Rhondda,Lab,Lab,-11,-6,Rho,Lab hold ,
W07000053,Torfaen,-9,-5,WA,UKL,61896,82378,Torfaen,Lab,Lab,-8.5,-5,Tor,Lab hold ,
W07000054,Monmouth,-8,-5,WA,UKL,62248,85613,Monmouth,Con,Con,-7.5,-5,Mon,Con hold ,
W07000055,Newport East,-8,-6,WA,UKL,56015,81090,Newport East,Lab,Lab,-8,-6,New,Lab hold ,
W07000056,Newport West,-9,-7,WA,UKL,62137,88258,Newport West,Lab,Lab,-8.5,-7,New,Lab hold ,
W07000057,Arfon,-13,-1,WA,UKL,40492,62304,Arfon,PC,PC,-12.5,-1,Arf,PC hold ,
W07000058,Aberconwy,-12,0,WA,UKL,45525,58941,Aberconwy,Con,Con,-12,0,Abe,Con hold ,
W07000059,Clwyd West,-11,0,WA,UKL,58644,73371,Clwyd West,Con,Con,-11,0,Clw,Con hold ,
W07000060,Vale of Clwyd,-10,0,WA,UKL,56505,72026,Vale Of Clwyd,Lab,Con,-10,0,Val,Lab gain from Con,
W07000061,Dwyfor Meirionnydd,-12,-1,WA,UKL,44394,61438,Dwyfor Meirionnydd,PC,PC,-11.5,-1,Dwy,PC hold ,
W07000062,Clwyd South,-10,-1,WA,UKL,54996,72600,Clwyd South,Lab,Lab,-9.5,-1,Clw,Lab hold ,
W07000063,Montgomeryshire,-11,-1,WA,UKL,48690,63271,Montgomeryshire,Con,Con,-10.5,-1,Mon,Con hold ,
W07000064,Ceredigion,-12,-6,WA,UKL,54242,73076,Ceredigion,PC,LD,-12,-6,Cer,PC gain from LD,
W07000065,Preseli Pembrokeshire,-15,-7,WA,UKL,57291,78902,Preseli Pembrokeshire,Con,Con,-14.5,-7,Pre,Con hold ,
W07000066,Carmarthen West and South Pembrokeshire,-15,-8,WA,UKL,57755,77544,Carmarthen West and South Pembrokeshire,Con,Con,-15,-8,Car,Con hold ,
W07000067,Carmarthen East and Dinefwr,-14,-7,WA,UKL,55750,71891,Carmarthen East and Dinefwr,PC,PC,-13.5,-7,Car,PC hold ,
W07000068,Brecon and Radnorshire,-9,-2,WA,UKL,54441,69244,Brecon and Radnorshire,Con,Con,-9,-2,Bre,Con hold ,
W07000069,Neath,-12,-7,WA,UKL,56097,73887,Neath,Lab,Lab,-11.5,-7,Nea,Lab hold ,
W07000070,Cynon Valley,-10,-5,WA,UKL,51422,70673,Cynon Valley,Lab,Lab,-9.5,-5,Cyn,Lab hold ,
W07000071,Merthyr Tydfil and Rhymney,-9,-4,WA,UKL,61716,76168,Merthyr Tydfil and Rhymney,Lab,Lab,-9,-4,Mer,Lab hold ,
W07000072,Blaenau Gwent,-9,-3,WA,UKL,51335,69609,Blaenau Gwent,Lab,Lab,-8.5,-3,Bla,Lab hold ,
W07000073,Bridgend,-12,-9,WA,UKL,59998,83796,Bridgend,Lab,Lab,-11.5,-9,Bri,Lab hold ,
W07000074,Ogmore,-11,-8,WA,UKL,55572,77515,Ogmore,Lab,Lab,-11,-8,Ogm,Lab hold ,
W07000075,Pontypridd,-11,-7,WA,UKL,58940,82153,Pontypridd,Lab,Lab,-10.5,-7,Pon,Lab hold ,
W07000076,Caerphilly,-10,-6,WA,UKL,63603,88129,Caerphilly,Lab,Lab,-10,-6,Cae,Lab hold ,
W07000077,Islwyn,-9,-6,WA,UKL,55697,76451,Islwyn,Lab,Lab,-9,-6,Isl,Lab hold ,
W07000078,Vale of Glamorgan,-11,-9,WA,UKL,72794,100945,Vale Of Glamorgan,Con,Con,-10.5,-9,Val,Con hold ,
W07000079,Cardiff West,-10,-8,WA,UKL,66762,93312,Cardiff West,Lab,Lab,-10,-8,Car,Lab hold ,
W07000080,Cardiff South and Penarth,-10,-9,WA,UKL,76006,115406,Cardiff South and Penarth,Lab,Lab,-9.5,-9,Car,Lab hold ,
